Year,Exporter,Importer,HSCode,Weight,Value,EstimationMethod,UnitPrice($/kg)
2024,SWE,ALB,6309,2000.0,757.028,Original,0.378514
2024,CHE,BRA,6309,3000.0,1135.795,Original,0.378598333
2024,TZA,CAN,6309,6331.92,2410.352,Original,0.380666844
2024,TUR,SWE,6310,580753.0,219662.0,Original,0.378236531
2024,AUT,GHA,6309,502.0,195.911,Original,0.390260956
2024,KHM,SGP,6310,832306.0,324177.5,Original,0.389493167
2024,CHN,COD,6309,26555297.0,10255038.0,Original,0.386176739
2024,CHN,JOR,6309,1428393.0,554760.0,Original,0.388380509
2024,DNK,TUR,6309,1282100.0,502926.726,Original,0.39226794
2024,FRA,ESP,6310,292615.0,113005.932,Original,0.38619323
2024,HND,BOL,6309,1290.8,500.0,Original,0.387356678
2024,ITA,IRQ,6309,45430.0,17583.342,Original,0.387042527
2024,ITA,TUN,6309,42581000.0,16517963.8,Original,0.387918644
2024,MLT,ITA,6309,22202.0,8570.288,Original,0.386014233
2024,IDN,LBR,6310,1000.0,389.34,Original,0.38934
2024,MWI,GBR,6310,1685.0,662.456,Original,0.393148961
2024,MYS,AUS,6310,111583.8,43934.483,Original,0.393735318
2024,NOR,EST,6309,111451.0,43069.063,Original,0.386439449
2024,PHL,KOR,6309,24093.0,9325.0,Original,0.387041879
2024,PHL,IND,6309,1506560.0,590010.0,Original,0.391627283
2024,NLD,BLR,6310,54666.0,21317.483,Original,0.389958713
2024,POL,IRL,6310,22.879,9.0,Original,0.393373836
2024,PRT,ESP,6310,8013697.175,3132995.356,Original,0.390955047
2024,IND,NLD,6310,3514679.0,1360822.531,Original,0.387182594
2024,ESP,TUR,6310,1160250.0,451392.936,Original,0.389047995
2024,TGO,GNQ,6309,142154.0,56114.329,Original,0.394743229
2024,TUR,YEM,6309,291200.0,113350.0,Original,0.389251374
2024,GBR,LSO,6309,418645.0,161987.276,Original,0.386932308
2024,GBR,IND,6309,5421138.0,2088358.682,Original,0.385225147
2024,AUT,PAK,6309,112188.0,44443.624,Original,0.3961531
2024,AUT,SVN,6309,81900.0,33028.84,Original,0.40328254
2024,KHM,JPN,6309,75700.8,30618.16,Original,0.404462833
2024,AGO,NOR,6310,243.0,96.75,Original,0.398148148
2024,CHN,MLT,6309,136147.0,54502.0,Original,0.400317304
2024,SLV,CHL,6309,19447.0,7723.26,Original,0.397144032
2024,SLV,PRT,6310,203872.3,82563.66,Original,0.404977331
2024,FRA,PRT,6310,356253.0,140930.265,Original,0.395590395
2024,GRC,LKA,6309,16000.0,6450.988,Original,0.40318675
2024,GRC,BGR,6310,213535.0,85998.375,Original,0.402736671
2024,ITA,ARE,6309,6052120.0,2394599.758,Original,0.395662967
2024,KOR,TGO,6309,15900.0,6400.0,Original,0.402515723
2024,KGZ,UZB,6309,2303.0,915.0,Original,0.397307859
2024,LVA,TUR,6309,34264.0,13689.439,Original,0.399528339
2024,HUN,MLT,6310,1649844.459,658112.0,Level 1 (Exp-Imp),0.39889336
2024,PHL,BGD,6309,19000.0,7600.0,Original,0.4
2024,POL,RUS,6310,3767222.0,1512796.0,Original,0.401568052
2024,SAU,IND,6310,1600.0,640.0,Original,0.4
2024,IND,MWI,6310,65.0,25.839,Original,0.397523077
2024,IND,SEN,6310,200.0,79.554,Original,0.39777
2024,ESP,MRT,6309,283897.0,114899.578,Original,0.404722762
2024,ESP,MAR,6309,35157178.0,14122890.5,Original,0.401707171
2024,ESP,TON,6309,25740.0,10299.563,Original,0.400138423
2024,CHE,CIV,6309,11013.0,4402.34,Original,0.399740307
2024,CHE,PER,6309,24885.0,9949.561,Original,0.399821619
